mmsi,student_label,student_confidence,pybossa_url
412432048,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/422
412437435,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/424
412444188,otherfish,0.3333333333333333,http://crowd.globalfishingwatch.org/project/maptests2/task/428
412002777,"longliner:1,purse_seine:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/409
219019804,"trawler:4,baddata:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/439
231184000,"longliner:2,otherfish:1,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/443
725009500,"purse_seine:3,trawler:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/445
257705500,"purse_seine:1,otherfish:2,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/449
257001210,"baddata:2,otherfish:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/452
251415640,"baddata:1,otherfish:3",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/457
263583000,"longliner:1,trawler:1,otherfish:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/462
235071779,"otherfish:4,other:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/466
265616100,"baddata:1,otherfish:3",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/474
247121820,"trawler:3,otherfish:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/475
235087027,"baddata:1,otherfish:3",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/479
265668860,"baddata:3,otherfish:1,not_fishing:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/495
259595000,"longliner:1,purse_seine:2,otherfish:1,other:1",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/516
271062117,"purse_seine:3,otherfish:2",0.3,http://crowd.globalfishingwatch.org/project/maptests2/task/530
412416059,baddata,0.2857142857142857,http://crowd.globalfishingwatch.org/project/maptests2/task/503
316008961,"otherfish:4,other:1,not_known:1",0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/410
412423199,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/411
440000690,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/413
412462593,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/432
412444796,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/434
432845000,"purse_seine:4,other:1,not_known:1",0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/437
412449545,other,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/441
412416335,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/442
900405802,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/450
412596013,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/453
412450746,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/454
412123411,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/455
800028837,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/458
412428092,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/459
412411689,other,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/461
90143213,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/463
413441090,baddata,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/464
412433799,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/467
412464331,otherfish,0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/480
800036705,"baddata:3,otherfish:1,not_fishing:1,not_known:1",0.25,http://crowd.globalfishingwatch.org/project/maptests2/task/533
235090864,"otherfish:2,other:2,not_known:1",0.24,http://crowd.globalfishingwatch.org/project/maptests2/task/525
367416270,"purse_seine:1,otherfish:3,not_known:1",0.24,http://crowd.globalfishingwatch.org/project/maptests2/task/534
247063630,"trawler:2,other:2,not_known:1",0.24,http://crowd.globalfishingwatch.org/project/maptests2/task/538
251576540,"longliner:1,trawler:1,otherfish:2,other:1,not_known:2",0.21428571428571427,http://crowd.globalfishingwatch.org/project/maptests2/task/507
412286699,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/435
412421803,other,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/440
412441214,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/448
412433643,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/472
412441905,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/483
412449247,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/485
412323921,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/486
130400923,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/496
412329271,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/497
412064497,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/501
412469752,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/519
412460866,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/520
412330746,otherfish,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/523
900264110,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/526
210000009,baddata,0.2,http://crowd.globalfishingwatch.org/project/maptests2/task/542
412061922,"longliner:1,baddata:1,not_known:1",0.19999999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/420
257488620,"purse_seine:1,otherfish:1,not_known:1",0.19999999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/425
412448749,"baddata:1,otherfish:1,not_known:1",0.19999999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/426
412430411,"trawler:1,baddata:2,otherfish:1,not_known:2",0.19999999999999998,http://crowd.globalfishingwatch.org/project/maptests2/task/510
410025515,"trawler:2,otherfish:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/481
412478686,"baddata:1,otherfish:1,not_fishing:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/488
412450085,"trawler:2,otherfish:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/489
900402635,"baddata:2,not_fishing:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/492
412431119,"baddata:2,not_fishing:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/502
900019534,"baddata:1,otherfish:1,not_fishing:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/508
251080110,"longliner:1,purse_seine:1,otherfish:1,not_known:2",0.18,http://crowd.globalfishingwatch.org/project/maptests2/task/541
413011032,baddata,0.16666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/436
900658520,otherfish,0.16666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/447
412457011,baddata,0.16666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/470
412462038,otherfish,0.16666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/499
412413956,otherfish,0.16666666666666666,http://crowd.globalfishingwatch.org/project/maptests2/task/505
412418996,"trawler:1,otherfish:1,not_known:2",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/414
800017081,"baddata:1,other:1,not_known:2",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/433
412412715,"purse_seine:1,trawler:1,other:1,not_known:3",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/438
412464495,"baddata:1,otherfish:1,not_known:2",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/476
412515898,"baddata:1,otherfish:1,not_known:2",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/478
272740000,"trawler:2,baddata:1,not_known:3",0.15,http://crowd.globalfishingwatch.org/project/maptests2/task/498
412201603,"purse_seine:1,baddata:1,otherfish:1,not_known:4",0.12857142857142856,http://crowd.globalfishingwatch.org/project/maptests2/task/504
412464376,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/431
412489777,"trawler:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/482
412445383,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/484
412417063,"trawler:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/487
270007565,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/493
412286805,"otherfish:1,not_fishing:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/506
412421998,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/509
412418804,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/511
413214763,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/517
412427022,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/521
412418459,"trawler:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/524
412418411,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/527
412412192,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/529
412202537,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/531
412413602,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/535
412423422,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/537
412213273,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/539
412328001,"baddata:1,otherfish:1,not_known:3",0.12,http://crowd.globalfishingwatch.org/project/maptests2/task/544
412447295,"purse_seine:1,baddata:1,otherfish:1,not_known:5",0.11249999999999999,http://crowd.globalfishingwatch.org/project/maptests2/task/430
412360539,"trawler:1,otherfish:1,not_known:4",0.09999999999999999,http://crowd.globalfishingwatch.org/project/maptests2/task/446
412422289,"baddata:1,otherfish:1,not_known:4",0.09999999999999999,http://crowd.globalfishingwatch.org/project/maptests2/task/513
